rs,name,lon,lat,r1
856,Ulm,9.99,48.398,414
345,Wittenberge,11.751,52.994,288
496,Ilmenau,10.916,50.689,200
1027,Erfurt,11.027,50.977,496
1478,Rostock,12.136,54.089,714
345,Osterburg (Altmark),11.754,52.788,200
1027,Magdeburg,11.633,52.126,496
345,Ansbach,10.577,49.304,240
714,Coburg,10.964,50.258,288
1027,Stendal,11.862,52.611,414
345,Günzburg,10.281,48.454,200
345,Ribnitz,12.432,54.243,200
856,Bamberg,10.887,49.893,345
595,Memmingen,10.185,47.988,200
288,Burg,11.855,52.27,200
240,Dillingen a.d.Donau,10.497,48.577,200
345,Saalfeld/Saale,11.361,50.648,240
496,Jena,11.592,50.93,288
856,Kempten (Allgäu),10.318,47.724,496
414,Genthin,12.155,52.406,200
288,Loburg,12.073,52.116,200
414,Donauwörth,10.778,48.719,288
856,Nürnberg,11.075,49.451,856
288,Kyritz,12.397,52.941,200
414,Wittstock/Dosse,12.486,53.163,200
714,Oberstdorf,10.276,47.408,240
240,Zerbst/Anhalt,12.085,51.964,200
496,Weißenburg i.Bay.,10.972,49.03,200
345,Rathenow,12.333,52.608,240
240,Röbel/Müritz,12.606,53.376,200
414,Roth,11.091,49.245,200
288,Halle (Saale),11.971,51.482,200
345,Kulmbach,11.456,50.108,200
240,Waren (Müritz),12.686,53.513,240
240,Ziesar,12.29,52.267,200
240,Bad Lobenstein,11.64,50.45,200
288,Kaufbeuren,10.621,47.88,200
240,Merseburg,11.993,51.357,200
240,Eichstätt,11.185,48.891,200
288,Pegnitz,11.544,49.756,200
595,Dessau,12.246,51.835,288
288,Weißenfels,11.967,51.2,200
414,Demmin,13.038,53.906,200
414,Stralsund,13.09,54.314,200
288,Altenburg,12.437,50.987,200
496,Amberg,11.856,49.445,200
595,Jessen (Elster),12.955,51.79,200
595,Luckenwalde,13.173,52.089,200
496,Bayreuth,11.575,49.944,345
240,Starsow,12.787,53.263,200
240,Engelthal,11.398,49.472,200
345,Füssen,10.7,47.57,200
288,Au,11.121,48.573,200
414,Penzing,10.927,48.075,200
240,Münchberg,11.79,50.192,200
288,Bitterfeld-Wolfen,12.325,51.625,200
345,Neuruppin,12.806,52.923,345
345,Neumarkt i.d.OPf.,11.459,49.279,200
856,Gera,12.08,50.876,240
288,Tarmow,12.805,52.796,200
414,Hof,11.914,50.317,200
345,Bad Belzig,12.587,52.141,240
414,Neustrelitz,13.062,53.363,200
2552,Leipzig,12.378,51.338,1027
240,Berkau,12.641,51.968,200
496,Ingolstadt,11.423,48.765,345
856,Greifswald,13.38,54.096,414
1027,Plauen,12.135,50.496,200
1027,Neubrandenburg,13.26,53.557,595
414,Sassnitz,13.634,54.513,240
345,Marktredwitz,12.086,50.002,240
496,Garmisch-Partenkirchen,11.086,47.492,288
288,Zwickau,12.496,50.719,200
714,Weiden i.d.OPf.,12.16,49.676,288
9138,München,11.576,48.138,2552
496,Anklam,13.693,53.855,200
414,Geretsried,11.482,47.856,240
414,Templin,13.499,53.121,200
288,Pfreimd,12.182,49.494,200
288,Freising,11.748,48.404,200
240,Torgau,13.004,51.559,200
288,Werbig,13.194,51.93,200
1773,Regensburg,12.102,49.015,595
100000,Berlin,13.406,52.518,100000
345,Lenggries,11.577,47.683,200
240,Mähring,12.529,49.909,200
414,Prenzlau,13.862,53.316,240
288,Mittweida,12.976,50.987,200
