rs,name,lon,lat,r1
240,Emmaste,22.597,58.705,200
856,Kuressaare,22.493,58.258,856
496,Kärdla,22.745,58.995,345
288,Leisi,22.683,58.571,200
345,Käina,22.776,58.828,200
288,Valjala,22.795,58.41,200
414,Orissaare,23.082,58.559,288
714,Ruhnu,23.243,57.804,345
856,Haapsalu,23.543,58.941,345
240,Panga,23.583,58.829,200
1478,Pärnu,24.523,58.38,856
496,Lihula,23.835,58.686,200
288,Tõstamaa,23.994,58.335,200
595,Lemsi,24.007,58.13,200
414,Turba,24.236,59.08,200
240,Koonga,24.153,58.582,200
288,Keila,24.415,59.31,200
288,Märjamaa,24.42,58.9,200
100000,Tallinn,24.693,59.42,100000
414,Ikla,24.362,57.877,200
345,Võiste,24.48,58.216,200
240,Haabneeme,24.816,59.516,200
240,Häädemeeste,24.5,58.081,200
496,Loksa,25.719,59.582,240
345,Võhma,25.558,58.632,200
595,Rapla,24.804,58.999,200
240,Lelle,25.006,58.863,200
414,Vändra,25.033,58.653,240
345,Kose,25.163,59.183,200
414,Kilingi-Nõmme,24.952,58.151,240
414,Kehra,25.333,59.332,240
240,Kuusalu,25.433,59.444,200
240,Kõpu,25.307,58.327,200
595,Viljandi,25.604,58.37,414
345,Otepää,26.492,58.06,200
414,Järva-Jaani,25.884,59.039,200
288,Tapa,25.961,59.262,200
414,Tõrva,25.922,58.002,200
496,Rakvere,26.364,59.345,345
1232,Valga,26.049,57.782,414
345,Elva,26.415,58.227,200
345,Tabivere,26.599,58.548,200
1773,Tartu,26.72,58.374,1027
345,Misso,27.228,57.601,200
345,Tudu,26.854,59.179,200
496,Mehikoorma,27.469,58.236,200
240,Avinurme,26.863,58.985,200
496,Mõniste,26.611,57.612,200
1027,Mustvee,26.941,58.848,200
288,Koosa,27.079,58.526,200
595,Järve,27.28,59.403,345
240,Rõuge,26.917,57.73,200
288,Võnnu,27.051,58.283,200
345,Kallaste,27.162,58.662,200
714,Võru,27.013,57.838,414
595,Iisaku,27.311,59.1,240
240,Vastseliina,27.283,57.732,200
414,Värska,27.634,57.958,200
2127,Narva,28.181,59.379,1027
856,Paide,25.561,58.885,414
496,Põlva,27.069,58.057,200
345,Jõgeva,26.392,58.749,288
