rs,name,lon,lat,r1
345,Galéria,8.648,42.409,200
496,Calvi,8.757,42.568,240
414,Cargèse,8.595,42.135,200
3062,Ajaccio,8.739,41.919,1478
856,Corte,9.149,42.31,288
595,Ghisonaccia,9.404,42.017,240
714,Porto-Vecchio,9.279,41.591,345
288,Propriano,8.904,41.676,200
1478,Bastia,9.452,42.702,595
345,Penta-di-Casinca,9.459,42.466,200
288,Cervione,9.491,42.331,200
345,Sari-Solenzara,9.396,41.859,200
240,Conca,9.335,41.734,200
414,Bonifacio,9.156,41.387,200
100000,Paris,2.363,48.828,100000
6346,Lyon,4.853,45.743,2552
4408,Bordeaux,-0.593,44.829,3062
3062,Toulouse,1.412,43.611,1232
1027,Nice,7.225,43.693,1027
5289,Strasbourg,7.746,48.574,2127
3674,Nantes,-1.551,47.219,2127
1232,Grenoble,5.733,45.177,496
1478,Rouen,1.093,49.433,595
414,Cergy-Pontoise,2.063,49.019,200
2127,Tours,0.694,47.379,1027
414,Toulon,5.951,43.129,345
1478,Nancy,6.18,48.689,856
1478,Reims,4.027,49.251,856
595,Le Havre,0.136,49.505,496
2552,Dijon,5.032,47.32,1027
595,Saint-Etienne,4.393,45.443,288
856,Clermont-Ferrand,3.096,45.787,714
1773,Mulhouse,7.333,47.767,595
1232,Orléans,1.911,47.905,714
414,Lens,2.857,50.42,200
856,Metz,6.179,49.113,345
856,Angers,-0.549,47.465,595
2552,Caen,-0.355,49.178,288
1478,Le Mans,0.198,47.994,496
240,Cannes,7.01,43.563,200
856,Dunkerque,2.364,51.03,345
595,Avignon,4.818,43.951,288
2552,Pau,-0.37,43.311,1027
595,Valenciennes,3.514,50.362,240
1478,Troyes,4.069,48.293,714
1478,Poitiers,0.348,46.581,595
856,Bayonne,-1.506,43.489,595
595,Melun,2.657,48.534,240
714,Valence,4.9,44.934,414
856,La Rochelle,-1.15,46.159,856
714,Chambery,5.926,45.576,240
1478,Lorient,-3.362,47.754,595
496,Boulogne-sur-mer,1.603,50.719,414
240,Douai,3.09,50.372,200
414,Calais,1.858,50.949,200
856,Creil,2.471,49.27,240
714,Chartres,1.484,48.44,414
240,Arras,2.773,50.289,200
496,Fréjus,6.761,43.434,200
414,Belfort,6.848,47.643,288
496,Meaux,2.893,48.958,288
1027,Saint-Brieuc,-2.76,48.504,496
856,Chalon-sur-Saône,4.842,46.793,414
345,Compiègne,2.816,49.413,200
595,Tarbes-Le Pradeau,0.075,43.234,240
595,Châlons-en-Champagne,4.367,48.956,240
496,Villefranche-sur-Saône,4.72,45.987,200
414,Roanne,4.065,46.036,345
496,Thionville,6.163,49.359,200
414,Châteauroux-Touvent,1.698,46.81,414
496,Nevers-Monastère de la Visitation,3.156,46.995,414
1478,Agen,0.624,44.201,414
288,Caudebec-lès-Elbeuf,1.022,49.29,200
1232,Mâcon,4.825,46.309,240
288,Gorbio,7.486,43.777,200
856,Epinal,6.446,48.176,414
240,Béthune,2.639,50.525,200
595,Dreux,1.368,48.734,240
240,Maubeuge,3.957,50.277,240
496,Vichy,3.432,46.132,240
595,Périgueux,0.717,45.187,414
345,Soissons-La Motte,3.322,49.376,288
714,Rodez-Les Ondes,2.574,44.358,345
288,Saint-Omer,2.258,50.746,200
288,Fontainebleau,2.716,48.409,200
496,Moulins-Champmilan,3.341,46.56,345
414,Montargis,2.728,48.003,288
240,Homécourt,5.995,49.218,200
414,Dax,-1.052,43.713,288
288,Scionzier,6.558,46.067,200
240,Dammartin-en-Goële,2.685,49.057,200
288,Beaucaire,4.654,43.807,200
288,Guebwiller,7.218,47.9,200
240,Beaumont-sur-Oise,2.284,49.147,200
345,Deauville,0.054,49.343,200
240,Le Tréport,1.397,50.054,200
345,Châteaudun-Saint-Denis-les-Ponts,1.33,48.072,200
240,Blaye-les-Mines-Le Buguet,2.159,44.046,200
345,Gien-La Petite Anesse,2.623,47.694,240
345,Foix-La Coume,1.616,42.956,200
345,Remiremont,6.594,48.017,200
595,Redon-Le Tertre,-2.077,47.656,288
345,Livron-sur-Drôme,4.831,44.766,200
414,Luxeuil-les-bains,6.391,47.815,200
240,Saint-André-de-Cubzac,-0.437,45.006,200
288,Capbreton,-1.427,43.652,200
240,Mazamet-Le Cros,2.375,43.496,200
240,Vif-La Santon,5.662,45.053,200
288,Bernay,0.597,49.094,200
345,La Ferté-Bernard,0.651,48.184,288
240,Faulquemont,6.582,49.058,200
414,Joigny,3.406,47.982,200
345,Gray-la-Ville,5.587,47.445,240
240,Péronne,2.938,49.928,200
414,L'Aigle,0.619,48.761,288
414,Wissembourg,7.948,49.038,200
414,Podensac,-0.363,44.666,200
288,Barraux,6.004,45.437,200
240,Hœrdt,7.792,48.707,200
414,Codalet,2.418,42.619,200
288,Saint-Jean-d'Angély,-0.523,45.944,200
240,Carspach,7.229,47.621,200
240,Argenton-sur-Creuse-L'Auvergnier,1.526,46.587,200
240,Avesnes-sur-Helpe,3.928,50.121,200
345,Revin,4.642,49.937,200
288,Ganges-La Baraque,3.713,43.934,240
714,Brioude,3.376,45.296,200
345,Avallon,3.915,47.488,288
240,Ham,3.072,49.741,200
345,Doullens,2.348,50.155,200
595,Loches,1,47.129,240
345,Decize-Chez Tabarant,3.461,46.832,200
240,Saussay,1.418,48.861,200
240,Sainte-Florine,3.325,45.414,200
240,Mirecourt,6.129,48.306,200
595,Prunières,5.788,44.906,200
