rs,name,lon,lat,r1
2552,დემერჩენცი,40.091,43.511,1232
240,ვაკე,40.124,43.375,240
345,ზვანდრიფში,40.569,43.162,345
288,რიკზა,40.786,43.389,288
240,აიბღა,40.258,43.583,240
288,რიწა,40.535,43.471,288
595,ნაოჩი,41.356,42.778,345
414,აძიბჟარა,40.968,43.202,414
288,ნაა,41.298,42.942,288
240,ვარჩა,41.146,42.835,240
496,არღუნია,41.487,43.053,345
2552,ბათუმი,41.64,41.646,1773
414,ქობულეთი,41.776,41.82,200
1027,ფოთი,41.675,42.142,345
288,სენაკი,42.06,42.269,200
714,ზუგდიდი,41.872,42.506,496
288,სარფი,41.55,41.522,200
496,იდლიანი,42.091,42.93,200
345,წალენჯიხა,42.068,42.61,200
345,ოზურგეთი,42,41.926,200
288,ზედა ჩხუტუნეთი,41.858,41.488,200
1027,ჩუბარი,42.45,43.072,414
414,სამტრედია,42.348,42.164,200
345,ხონი,42.422,42.325,200
496,ქვემო ვაშლოვანი,42.295,41.637,240
414,ზოტი,42.451,41.895,200
595,ცაგერი,42.768,42.647,200
1773,ქუთაისი,42.701,42.27,714
345,ლამფალაში,43.026,42.803,288
240,ტყიბული,42.997,42.348,200
414,ჭიათურა,43.279,42.287,200
288,სარიტათა,43.808,42.469,200
414,ზეკარი,42.91,41.942,200
240,ხოტევი,43.134,42.465,200
345,ზესტაფონი,43.038,42.107,240
1027,ახალციხე,42.99,41.638,345
1027,ონი,43.443,42.584,288
345,გონა,43.545,42.799,200
414,ბორჯომი,43.378,41.84,200
345,პერევი,43.601,42.365,200
414,ხაშური,43.598,41.997,288
414,ახალქალაქი,43.485,41.408,288
496,ბანცური,44.699,42.324,200
595,დუშეთი,44.696,42.085,240
240,აბუხალო,43.752,41.818,200
240,გორელოვკა,43.694,41.215,200
288,ასფარა,43.78,41.452,200
414,მერეთი,44.079,42.224,200
414,ოქიანი,44.045,41.79,200
856,გორი,44.112,41.981,496
345,წალკა,44.091,41.595,200
288,ირგანჩაი,44.141,41.207,200
496,დმანისი,44.203,41.332,200
240,ათნოხი,44.708,42.456,240
595,ბოლნისი,44.539,41.45,240
496,კარწაულთა,44.949,42.488,345
288,სადახლო,44.79,41.243,200
240,ხომი,44.93,42.379,200
345,ვეძისხევი,45.484,42.419,345
100000,თბილისი,44.801,41.693,100000
240,ველები,44.963,42.035,200
288,ანდაქი,45.206,42.538,288
240,რუსთავი,45.011,41.544,200
414,საგარეჯო,45.324,41.736,200
856,თელავი,45.471,41.919,345
496,უდაბნო,45.378,41.505,200
240,თულარი,45.551,41.578,200
288,ყვარელი,45.814,41.948,200
714,დედოფლისწყარო,46.11,41.464,345
714,ლაგოდეხი,46.273,41.827,288
414,ერისიმედი,46.314,41.599,200
