rs,name,lon,lat,r1
435,Sainte-Rose,-61.697,16.333,123
60,Morne-à-l'Eau,-61.456,16.332,50
103,Le Moule,-61.343,16.331,72
123,Deshaies,-61.793,16.307,50
86,Lamentin,-61.632,16.271,50
147,Baie-Mahault,-61.586,16.268,50
147,Saint-François,-61.273,16.251,60
123,Le Gosier,-61.491,16.206,50
123,Bouillante,-61.769,16.132,50
103,Goyave,-61.574,16.133,50
147,Vieux-Habitants,-61.763,16.06,72
211,Saint-Claude,-61.696,16.028,86
72,Baillif,-61.746,16.021,50
60,Gourbeyre,-61.691,15.995,50
123,Saint-Louis,-61.318,15.954,50
147,Port-Louis,-61.531,16.417,50
103,Petit-Canal,-61.489,16.379,50
303,La Désirade,-61.075,16.304,123
100000,Les Abymes,-61.504,16.271,100000
86,Pointe-Noire,-61.789,16.233,86
303,Sainte-Anne,-61.385,16.225,60
86,Petit-Bourg,-61.589,16.192,50
123,Capesterre-Belle-Eau,-61.564,16.042,103
60,Trois-Rivières,-61.644,15.977,60
147,Capesterre-de-Marie-Galante,-61.22,15.892,60
901,Grand-Bourg,-61.315,15.883,211
253,Terre-de-Haut,-61.581,15.867,103
72,Terre-de-Bas,-61.642,15.85,50
