rs,name,lon,lat,r1
100000,Saint-Denis,55.448,-20.878,100000
60,Le Port,55.29,-20.934,50
211,La Possession,55.336,-20.926,86
435,Saint-Paul,55.27,-21.009,176
123,Les Trois-Bassins,55.295,-21.105,50
147,Salazie,55.539,-21.027,72
211,Saint-Leu,55.287,-21.165,103
60,Saint-Louis,55.409,-21.286,60
72,Saint-Benoît,55.713,-21.033,50
147,Le Tampon,55.515,-21.277,60
103,Saint-Joseph,55.619,-21.378,86
86,Sainte-Marie,55.549,-20.896,86
86,Les Avirons,55.333,-21.241,50
176,Cilaos,55.471,-21.134,86
176,Saint-André,55.651,-20.959,176
103,La Plaine-des-Palmistes,55.626,-21.134,72
363,Saint-Pierre,55.478,-21.341,176
147,Sainte-Rose,55.793,-21.127,72
303,Saint-Philippe,55.768,-21.358,123
