rs,name,lon,lat,r1
735,Pafos,32.406,34.78,426
355,Morfou,33.019,35.215,206
511,Polis,32.426,35.033,120
206,Pegeia,32.381,34.884,100
172,Agia Marina (Chrysochous),32.534,35.111,100
120,Polemi,32.507,34.886,100
120,Kouklia,32.575,34.709,100
296,Lefka,32.85,35.114,120
144,Lemithou,32.812,34.952,100
296,Pissouri,32.702,34.671,206
120,Kormakitis,33.01,35.344,100
120,Prastio,32.94,35.176,100
172,Kyperounta,32.975,34.938,120
120,Lapithos,33.175,35.34,100
172,Apesia,32.978,34.789,100
120,Louvaras,33.04,34.837,100
355,Keryneia,33.321,35.34,144
144,Gourri,33.159,34.958,100
172,Parekklisia,33.161,34.744,100
172,Lythrodontas,33.294,34.95,100
206,Xylofagou,33.835,34.976,100
120,Kalavasos,33.296,34.771,100
144,Petrofani,33.52,35.045,100
144,Akanthou,33.753,35.374,100
144,Lefkonoiko,33.732,35.26,100
296,Lysi,33.682,35.106,144
296,Trikomo,33.892,35.286,120
120,Avgorou,33.84,35.037,100
172,Agios Theodoros,34.029,35.367,100
511,Ammochostos,33.956,35.116,426
247,Koma tou Gialou,34.131,35.428,100
247,Aigialousa,34.189,35.536,100
144,Paralimni,34,35.032,100
1522,Rizokarpaso,34.379,35.598,426
100000,Lefkosia,33.346,35.149,100000
1058,Lemesos,33.032,34.692,426
296,Larnaka,33.614,34.927,206
172,Pera Chorio,33.401,35.009,100
172,Kiti,33.582,34.852,100
