rs,name,lon,lat,r1
134,Lümanda,22.025,58.288,66
112,Kihelkonna,22.044,58.363,94
331,Mustjala,22.239,58.46,94
192,Kärla,22.255,58.331,112
230,Salme,22.25,58.163,94
112,Kõrgessaare,22.467,58.981,112
79,Nasva,22.387,58.229,39
134,Aste,22.448,58.345,66
276,Emmaste,22.597,58.705,94
986,Kuressaare,22.493,58.258,822
230,Hullo,23.242,58.993,112
134,Pürksi,23.521,59.007,55
571,Kärdla,22.745,58.995,331
276,Leisi,22.683,58.571,112
331,Käina,22.776,58.828,134
112,Kõljala,22.685,58.369,39
331,Valjala,22.795,58.41,134
134,Suuremõisa,22.952,58.873,66
112,Laimjala,23.003,58.427,79
397,Orissaare,23.082,58.559,276
134,Liiva,23.231,58.605,55
822,Ruhnu,23.243,57.804,331
986,Haapsalu,23.543,58.941,397
230,Virtsu,23.524,58.578,112
230,Panga,23.583,58.829,79
46,Herjava,23.629,58.953,33
79,Jõõdre,23.623,58.866,55
192,Paldiski,24.058,59.352,160
94,Risti,24.057,58.998,66
94,Klooga,24.224,59.321,79
79,Linnamäe,23.715,58.996,28
28,Laitse,24.331,59.207,20
112,Kõmsi,23.633,58.626,46
33,Vääna,24.405,59.389,20
33,Tuula,24.457,59.276,20
39,Valingu,24.472,59.302,20
79,Saue,24.556,59.32,28
134,Laagri,24.61,59.352,66
46,Papsaare,24.416,58.403,24
28,Tänassilma,24.635,59.335,20
28,Üksnurme,24.645,59.29,20
192,Pärnu-Jaagupi,24.503,58.611,160
94,Taebla,23.74,58.956,79
79,Metsanurme,24.663,59.264,28
1702,Pärnu,24.523,58.38,822
160,Kabli,24.442,58.004,66
66,Tuudi,23.731,58.662,39
134,Vatla,23.725,58.561,79
192,Palivere,23.894,58.966,66
476,Lihula,23.835,58.686,192
79,Harju-Risti,24.015,59.226,79
112,Kirbla,23.95,58.726,39
39,Padise,24.139,59.228,24
134,Kullamaa,24.076,58.88,79
39,Koluvere,24.102,58.905,20
112,Laulasmaa,24.225,59.387,28
192,Rummu,24.199,59.231,79
276,Tõstamaa,23.994,58.335,134
94,Laukna,24.166,58.917,39
33,Ämari,24.242,59.247,20
571,Lemsi,24.007,58.13,160
66,Tuulna,24.29,59.347,24
28,Keila-Joa,24.303,59.397,20
55,Türisalu,24.307,59.412,24
397,Turba,24.236,59.08,134
66,Vasalemma,24.288,59.238,33
160,Koonga,24.153,58.582,94
55,Lehola,24.325,59.292,33
55,Vääna-Jõesuu,24.368,59.434,24
94,Riisipere,24.309,59.117,33
24,Suurupi,24.39,59.462,20
112,Kaasiku,24.334,59.193,33
276,Vana-Vigala,24.247,58.78,112
94,Ahaste,24.185,58.475,55
55,Karjaküla,24.391,59.339,20
94,Sipa,24.301,58.918,55
79,Muraste,24.428,59.456,55
276,Keila,24.415,59.31,112
55,Liikva,24.436,59.402,33
33,Sõrve,24.445,59.43,20
33,Kumna,24.452,59.324,20
79,Kõima,24.254,58.366,28
79,Kiia,24.489,59.362,20
134,Lindi,24.256,58.329,79
79,Kivi-Vigala,24.366,58.713,55
79,Haiba,24.469,59.128,66
55,Jõgisoo,24.503,59.275,20
276,Märjamaa,24.42,58.9,134
28,Vatsla,24.535,59.396,20
160,Varbola,24.456,59.044,66
94,Jõõpre,24.325,58.473,39
112,Ääsmäe,24.506,59.247,46
79,Tabasalu,24.551,59.426,55
24,Hüüru,24.542,59.381,20
46,Orgita,24.453,58.92,20
55,Vahenurme,24.391,58.621,39
230,Lavassaare,24.368,58.514,55
66,Harku,24.577,59.386,24
24,Alliku,24.573,59.355,20
134,Audru,24.357,58.41,79
33,Harkujärve,24.605,59.413,24
