rs,name,lon,lat,r1
33,Aptskhva,40.489,43.173,33
1702,Demerchentsi,40.091,43.511,1183
112,Verkhnaia Eshera,40.909,43.08,112
66,Khashupsa,40.115,43.405,66
28,Vake,40.124,43.375,28
276,Dzikhcha,40.36,43.253,276
33,Tsanigvarta,40.399,43.202,33
192,Salme,40.031,43.429,192
66,Salkhino,40.056,43.488,66
33,Garpi,40.549,43.239,33
160,Arkhva,40.581,43.234,160
39,Zvandripshi,40.569,43.162,39
28,Akvaskemtsa,40.6,43.171,28
55,Tvanaarkhu,40.656,43.211,55
33,Kheivani,40.038,43.387,33
39,Aosirkhva,40.712,43.199,39
28,Rikza,40.786,43.389,28
397,Serebrianoe,40.82,43.365,397
112,Sanchara,40.842,43.417,112
33,Tsabliani,40.096,43.528,33
39,Tsvkvara,40.764,43.096,39
28,Tsalkoti,40.055,43.399,28
28,Tsodniskari,40.092,43.497,28
28,Vashlovani,40.08,43.456,28
66,Audzkha,40.845,43.12,66
24,Sulevo,40.095,43.483,24
66,Gantiadi,40.085,43.38,66
46,Kldiani,40.107,43.432,46
79,Zegani,40.15,43.451,79
33,Veli,40.143,43.416,33
39,Baghnari,40.156,43.428,39
28,Imerkhevi,40.15,43.389,28
33,Mendeleevo,40.189,43.409,33
28,Achmarda,40.197,43.42,28
230,Aibgha,40.258,43.583,230
134,Chigripshi,40.19,43.346,134
55,Gagra,40.256,43.306,55
28,Gruzinskoe-Ushchelie,40.278,43.292,28
28,Gagrapsta,40.291,43.272,28
46,Kolkhida,40.298,43.255,46
24,Alakhadzi,40.315,43.218,24
192,Inkiti,40.302,43.175,192
66,Atsijkva,40.338,43.199,66
46,Arasadzikhi,40.353,43.233,46
28,Rapitsa,40.345,43.182,28
39,Bichvinta,40.34,43.16,39
28,Akvara,40.391,43.239,28
24,Akhvaja,40.419,43.236,24
66,Riapshi,40.436,43.209,66
230,Ritsa,40.535,43.471,230
28,Blaburkhva,40.459,43.227,28
66,Tsudzakha,40.474,43.237,66
24,Ondanirkhva,40.497,43.183,24
28,Ambara,40.488,43.146,28
39,Otkhara,40.529,43.222,39
24,Bacha,40.531,43.209,24
112,Mugudzirkhva,40.525,43.148,112
94,Mamijirkhva,40.541,43.192,94
24,Sinirkhva,40.553,43.199,24
28,Apshankhvara,40.562,43.214,28
24,Akhalsopeli,40.563,43.14,24
24,Bgardvani,40.597,43.2,24
28,Algiti,40.578,43.119,28
28,Shkvana,40.626,43.222,28
24,Ajimchighra,40.613,43.179,24
55,Bambora,40.599,43.101,55
24,Duripshi,40.635,43.198,24
55,Atarhabla,40.638,43.185,55
39,Adzlagara,40.627,43.148,39
24,Tamkvach-Igvavera,40.647,43.155,24
28,Aruta,40.674,43.177,28
28,Tsvishaarkhu,40.665,43.135,28
39,Aualitsa,40.704,43.179,39
28,Tsoukhva,40.698,43.155,28
476,Primorskoe,40.695,43.094,476
24,Aghuripsta,40.809,43.422,24
46,Abgharkhuki,40.704,43.115,46
24,Baghikita,40.715,43.137,24
28,Kutidzra,40.744,43.178,28
39,Pskhu,40.816,43.387,39
134,Bintkha,40.735,43.15,134
24,Alra,40.741,43.11,24
39,Aldzikhi,40.748,43.124,39
112,Khabiu,40.777,43.197,112
24,Verkhnaia-Mtsara,40.77,43.169,24
33,Chiruta,40.778,43.152,33
28,Vesiolovka,40.807,43.137,28
46,Armianskoe Ushchelie,40.798,43.11,46
46,Reshevie,40.874,43.326,46
28,Anukhva,40.812,43.121,28
28,Akhali Atoni,40.826,43.088,28
28,Psirtskha,40.872,43.088,28
28,Amzara,40.995,43.088,28
24,Aleksandrovka,41.162,43.037,24
39,Meore Arasadzikhi,41.593,42.897,39
39,Shitskvara,40.912,43.058,39
66,Sokhumi,41,43,66
39,Nizhnaia-Iashtkhva,41.011,43.026,39
160,Adzibzhara,40.968,43.202,160
28,Gvandra,40.919,43.042,28
46,Pshapi,41.096,42.894,46
55,Zemo Gulripshi,41.135,42.949,55
33,Estonka,41.203,42.885,33
33,Dopoukiti,41.212,42.865,33
33,Tekhi,41.273,42.98,33
28,Mziseuli,41.293,43.024,28
160,Naa,41.298,42.942,160
24,Akhali Kindghi,41.272,42.797,24
28,Akhutsa,41.395,42.953,28
39,Ambarikhutsa,40.966,43.083,39
24,Ghvada-Akhutsa,41.42,42.946,24
46,Ghvada,41.432,42.901,46
46,Ochubure,40.984,43.121,46
276,Tskhenistskali,41.415,42.8,230
39,Tsagera,41.42,42.778,39
571,Aimara,41.501,42.929,276
55,Akidra,41.493,42.902,55
33,Lechkopi,40.954,43.009,33
33,Uazabaa,40.972,43.054,33
24,Ilori,41.498,42.696,24
55,Akhali Akvaskia,41.543,42.798,55
24,Aghdara,40.982,43.065,24
28,Gumista,40.971,43.025,28
134,Gagida,41.575,42.493,46
46,Pirveli Kopiti,41.703,42.767,46
24,Tikori,41.586,42.377,20
55,Satave,41.03,43.153,55
