rs,name,lon,lat,r1
496,Feldkirch,9.586,47.255,200
240,Sankt Gallenkirch,9.975,47.02,200
345,Riezlern,10.187,47.358,240
714,Imst,10.741,47.237,345
288,Forchach,10.587,47.418,200
595,Pfunds,10.542,46.967,240
240,Stams,10.983,47.275,200
2127,Innsbruck,11.403,47.268,856
714,Mariahilf,12.298,46.914,496
288,Jenbach,11.769,47.395,200
595,Sankt Johann im Pongau,13.204,47.35,345
288,Sillian,12.418,46.748,200
240,Kals am Großglockner,12.647,47.002,200
1027,Salzburg,13.034,47.81,714
345,Edt,13.253,48.207,200
288,Hallein,13.099,47.681,200
345,Zipf,13.501,48.034,200
288,Bad Gastein,13.134,47.116,200
240,Großarl,13.201,47.237,200
288,Gosau,13.524,47.58,200
414,Aigen im Mühlkreis,13.971,48.646,200
496,Gmunden,13.799,47.919,200
288,Malta,13.507,46.955,200
288,Wels,14.03,48.168,200
345,Spittal an der Drau,13.496,46.796,345
496,Sankt Martin,13.654,47.1,240
345,Berndorf,14.216,48.431,200
240,Gröbming,13.903,47.444,200
2127,Linz,14.307,48.268,856
414,Steyr,14.428,48.045,200
496,Liezen,14.242,47.565,288
345,Windischgarsten,14.328,47.722,200
240,Rennweg,14.127,46.784,200
714,Leopoldsdorf,15.138,48.948,200
288,Oberland,14.746,47.9,200
595,Amstetten,14.871,48.123,240
1027,Klagenfurt am Wörthersee,14.305,46.625,595
414,Zwettl-Niederösterreich,15.168,48.606,288
288,Weiz,15.63,47.216,200
414,Sankt Pölten,15.63,48.201,414
345,Eisenerz,14.891,47.543,200
2552,Graz,15.434,47.078,1027
496,Wolfsberg,14.845,46.84,288
288,Wolfsbach,15.662,48.85,240
595,Leoben,15.092,47.374,240
414,Lilienfeld,15.598,48.013,200
288,Sankt Peter im Sulmtal,15.251,46.758,240
240,Wenigzell,15.787,47.426,200
240,Gleisdorf,15.713,47.106,200
288,Laa an der Thaya,16.385,48.723,200
496,Feldbach,15.889,46.953,240
240,Natschbach,16.1,47.712,200
100000,Wien,16.376,48.212,100000
856,Wiener Neustadt,16.241,47.816,345
714,Mistelbach,16.571,48.573,200
288,Krumbach,16.192,47.525,200
856,Oberwart,16.21,47.286,288
240,Bad Radkersburg,15.988,46.689,200
345,Gänserndorf,16.724,48.338,200
288,Deutschkreutz,16.624,47.601,240
345,Strem,16.415,47.044,200
240,Illmitz,16.8,47.763,200
595,Hainburg an der Donau,16.95,48.146,200
1232,Bregenz,9.721,47.486,856
345,Baden,16.242,48.004,200
345,Lienz,12.788,46.829,288
595,Kufstein,12.17,47.586,414
414,Bad Ischl,13.605,47.712,200
240,Langenlois,15.705,48.465,200
595,Schärding,13.441,48.465,345
496,Judenburg,14.653,47.17,240
288,Mayrhofen,11.87,47.197,240
288,Gmünd,14.97,48.764,200
288,Hollabrunn,16.081,48.556,200
496,Mürzzuschlag,15.679,47.605,288
345,Bürmoos,12.932,47.99,200
