rs,name,lon,lat,r1
240,Feldhuisen,6.155,51.902,200
240,Hofstadt,6.091,50.9,200
414,Borkum,6.665,53.588,240
240,Kleve,6.139,51.788,240
240,Norderney,7.145,53.707,200
714,Aachen,6.085,50.774,345
496,Norden,7.202,53.595,200
714,Bocholt,6.616,51.838,240
2127,Emden,7.206,53.371,496
240,Simmerath,6.301,50.606,200
288,Mechernich,6.654,50.589,200
6346,Köln,6.957,50.938,2127
2552,Trier,6.638,49.758,414
595,Papenburg,7.393,53.078,240
496,Wittlich,6.889,49.986,200
496,Miescheid,6.383,50.428,200
240,Velen,6.987,51.894,200
345,Meppen,7.292,52.691,200
595,Düsseldorf,6.78,51.224,240
714,Helgoland,7.887,54.182,345
496,Lingen (Ems),7.317,52.522,200
1027,Prüm,6.424,50.207,200
288,Dormagen,6.842,51.093,200
414,Essen,7.013,51.456,200
345,Marl,7.102,51.658,200
414,Wangerooge,7.9,53.792,345
595,Westerland,8.309,54.908,496
240,Liblar,6.812,50.812,200
240,Hörnum (Sylt),8.287,54.756,200
288,Bitburg,6.525,49.976,200
496,Rheine,7.439,52.279,240
288,Dülmen,7.279,51.829,200
240,Barmen,7.196,51.271,200
414,Daun,6.831,50.197,200
288,Greven,7.613,52.093,200
414,Bonn,7.099,50.734,200
595,Münster,7.627,51.962,345
1232,Dortmund,7.464,51.514,345
414,Merzig,6.643,49.444,200
345,Overath,7.282,50.933,200
414,Cloppenburg,8.043,52.848,240
240,Oldenburg (Oldb),8.213,53.14,240
288,Bramsche,7.979,52.407,200
288,Niebüll,8.829,54.788,240
595,Osnabrück,8.042,52.277,240
288,Iserlohn,7.699,51.375,200
345,Hamm,7.817,51.678,200
714,Bremerhaven,8.578,53.543,345
240,Werdohl,7.767,51.26,200
496,Diepholz,8.371,52.606,200
856,Koblenz,7.598,50.36,288
240,Vechta,8.285,52.728,200
714,Cuxhaven,8.697,53.864,240
345,Bredstedt,8.961,54.62,200
496,Saal,7.57,50.78,200
345,Limburg a.d.Lahn,8.064,50.387,240
714,Brilon,8.568,51.395,240
345,Rotenburg (Wümme),9.404,53.11,200
240,Oberbieber,7.501,50.474,200
856,Saarbrücken,6.996,49.237,714
240,Tönning,8.942,54.317,200
240,Versmold,8.155,52.04,200
345,St. Wendel,7.173,49.468,200
240,Olpe,7.844,51.028,200
288,Reich,7.433,50.002,200
240,Arnsberg,8.065,51.396,200
714,Heide,9.091,54.194,240
414,Dörth,7.589,50.148,200
240,Myhle,8.813,53.26,200
1027,Bremen,8.809,53.076,595
496,Altenhundem,8.074,51.103,200
1027,Flensburg,9.438,54.783,345
1027,Siegen,8.025,50.875,414
240,Lippstadt,8.346,51.674,200
345,Syke,8.816,52.915,200
714,Bielefeld,8.532,52.021,595
345,Nordel,8.731,52.452,200
414,Seck,8.048,50.577,200
288,Bremervörde,9.146,53.485,288
345,Schleswig,9.567,54.515,200
414,Wilster,9.375,53.923,240
496,Bad Kreuznach,7.862,49.845,200
288,Dillenburg,8.287,50.739,200
345,Kaiserslautern,7.769,49.445,345
496,Minden,8.915,52.288,200
288,Rendsburg,9.663,54.306,200
595,Paderborn,8.757,51.72,240
240,Bad Wünnenberg,8.698,51.517,200
240,Dörverden,9.228,52.847,200
345,Nienburg (Weser),9.212,52.641,200
288,Wiesbaden,8.239,50.082,240
345,Alsfeld,9.271,50.751,200
288,Aschaffenburg,9.148,49.974,240
496,Neumünster,9.988,54.07,200
496,Walsrode,9.596,52.862,200
345,Harksheide,9.997,53.706,200
496,Karlsruhe,8.405,49.01,414
345,Schotten,9.124,50.502,200
496,Celle,10.081,52.626,200
240,Pforzheim,8.699,48.891,200
288,Korbach,8.873,51.272,200
496,Calw,8.741,48.713,200
414,Frankenberg (Eder),8.799,51.059,200
595,Gießen,8.675,50.586,345
414,Landau in der Pfalz,8.112,49.197,200
496,Marburg,8.769,50.809,200
240,Neustadt am Rübenberge,9.458,52.505,200
288,Kirdorf,8.611,50.241,200
1478,Kiel,10.137,54.322,595
414,Hameln,9.356,52.104,200
345,Müllheim,7.631,47.808,200
496,Offenburg,7.944,48.469,414
1773,Frankfurt am Main,8.682,50.111,856
2552,Hamburg,9.997,53.551,1773
856,Lörrach,7.659,47.612,288
1232,Mannheim,8.466,49.488,496
1232,Freiburg im Breisgau,7.85,47.995,714
414,Höxter,9.382,51.776,240
240,Soltau,9.838,52.987,200
288,Darmstadt,8.654,49.872,200
240,Hanstedt,10.014,53.258,200
288,Hofgeismar,9.383,51.494,200
2127,Hannover,9.738,52.375,595
240,Bergen,9.962,52.81,200
345,Fürth,8.782,49.65,200
2127,Kassel,9.495,51.315,595
240,Neckargemünd,8.797,49.394,200
345,Eutin,10.615,54.139,240
414,Einbeck,9.866,51.817,240
240,Sinsheim,8.879,49.253,200
595,Lüneburg,10.409,53.249,240
345,Lübeck,10.684,53.866,345
496,Tiengen,8.271,47.632,288
240,Lauenburg/Elbe,10.554,53.374,200
288,Oldenburg in Holstein,10.888,54.293,200
414,Göttingen,9.935,51.533,240
240,Northeim,10,51.706,200
345,Mölln,10.691,53.63,200
1027,Uelzen,10.561,52.965,240
345,Fulda,9.675,50.553,345
345,Bad Hersfeld,9.706,50.868,240
240,Hünfeld,9.769,50.673,200
240,Rettin,10.889,54.099,200
345,Schlüchtern,9.524,50.347,200
240,Brodten,10.861,53.988,200
288,Oberndorf,9.473,50.191,200
496,Reutlingen,9.212,48.492,240
240,Bad Bevensen,10.575,53.08,200
714,Konstanz,9.176,47.663,595
288,Gotha,10.703,50.949,200
288,Rügshofen,10.358,49.909,200
414,Sontra,9.933,51.069,200
240,Carlow,10.936,53.758,200
345,Bietigheim-Bissingen,9.133,48.948,200
496,Heilbronn,9.218,49.14,288
714,Burg auf Fehmarn,11.198,54.439,288
288,Wertheim,9.517,49.76,200
496,Braunschweig,10.521,52.262,414
1478,Stuttgart,9.178,48.776,1027
1027,Goslar,10.429,51.907,288
288,Wittingen,10.74,52.729,200
240,Parin,11.189,53.913,200
414,Ebingen,9.026,48.214,240
288,Woez,11.087,53.591,200
345,Börßum,10.582,52.069,200
288,Thaiden,10.015,50.542,200
714,Ehra,10.788,52.569,200
414,Stockach,9.009,47.849,200
414,Hagenow,11.193,53.432,200
595,Bad Mergentheim,9.773,49.491,240
496,Mühlhausen/Thüringen,10.458,51.21,200
595,Würzburg,9.937,49.794,496
496,Wismar,11.466,53.892,200
240,Bad Neustadt a.d.Saale,10.207,50.33,200
240,Craula,10.492,51.065,200
1027,Schwerin,11.414,53.629,345
496,Salzwedel,11.154,52.853,288
345,Schwäbisch Hall,9.735,49.113,288
288,Göppingen,9.654,48.703,240
288,Meiningen,10.416,50.574,240
288,Schweinfurt,10.23,50.046,200
856,Nordhausen,10.792,51.5,345
496,Halberstadt,11.047,51.896,288
288,Thale,11.046,51.754,200
240,Ehingen (Donau),9.725,48.284,200
288,Feuchtwangen,10.331,49.168,200
414,Heidenheim an der Brenz,10.155,48.678,240
345,Busendorf,10.864,50.078,200
414,Dorst,11.386,52.379,200
345,Forchheim,11.059,49.72,200
414,Parchim,11.848,53.426,200
240,Bad Waldsee,9.751,47.923,240
856,Ulm,9.99,48.398,414
345,Wittenberge,11.751,52.994,288
496,Ilmenau,10.916,50.689,200
1027,Erfurt,11.027,50.977,496
1478,Rostock,12.136,54.089,714
345,Lindau (Bodensee),9.684,47.546,288
345,Osterburg (Altmark),11.754,52.788,200
288,Sangerhausen,11.299,51.474,240
