rs,name,lon,lat,r1
240,Awala-Yalimapo,-53.905,5.734,200
3674,Saint-Laurent-du-Maroni,-54.028,5.504,1478
595,Iracoubo,-53.204,5.48,240
856,Kourou,-52.642,5.158,345
856,Sinnamary,-52.957,5.377,345
496,Apatou,-54.343,5.155,288
345,Macouria,-52.473,5.014,200
496,Saint-Élie,-53.287,4.825,414
100000,Cayenne,-52.334,4.938,100000
414,Roura,-52.323,4.729,200
1232,Régina,-52.128,4.314,414
1773,Grand-Santi,-54.383,4.276,595
414,Ouanary,-51.672,4.209,200
496,Papaichton,-54.149,3.807,200
1478,Maripasoula,-54.027,3.641,1232
2552,Saint-Georges,-51.8,3.889,1027
1773,Saül,-53.209,3.623,496
856,Camopi,-52.333,3.167,595
