rs,name,lon,lat,r1
496,Ereikoussa,19.578,39.88,240
414,Ktismata,20.397,39.898,200
240,Nestorion,21.059,40.416,200
288,Metsovon,21.183,39.77,200
856,Ozias,20.19,39.188,240
414,Konitsa,20.747,40.045,288
288,Laimos,21.14,40.835,200
288,Monodendrion,20.747,39.883,200
1478,Florina,21.414,40.783,200
496,Preveza,20.751,38.958,200
288,Lefkas,20.707,38.833,200
856,Argostolion,20.487,38.179,288
288,Matsoukion,21.163,39.568,200
856,Arta,20.987,39.161,414
856,Grevena,21.428,40.083,200
240,Skala,20.798,38.073,200
414,Zakynthos,20.896,37.783,345
414,Ptolemais,21.679,40.513,200
345,Karditsa,21.922,39.365,200
345,Andravida,21.271,37.906,200
414,Ithaki,20.718,38.364,200
240,Kandila,20.949,38.705,200
345,Aridaia,22.061,40.974,200
414,Kozani,21.789,40.3,240
345,Edessa,22.05,40.801,200
414,Amfilochia,21.166,38.863,200
288,Kalampaka,21.626,39.705,200
345,Deskati,21.809,39.927,200
345,Skra,22.383,41.095,200
288,Vlasion,21.581,39.29,200
288,Triklinon,21.445,38.973,200
288,Granitsa,21.511,39.101,200
414,Veroia,22.206,40.521,200
595,Trikala,21.768,39.556,414
240,Rizomata,22.211,40.35,200
414,Giannitsa,22.411,40.793,240
345,Livadi,22.157,40.127,200
496,Elasson,22.189,39.895,200
288,Varda,21.364,38.031,200
414,Karpenision,21.794,38.914,288
856,Katerini,22.511,40.269,345
595,Kilkis,22.876,40.995,240
345,Litochoron,22.505,40.105,200
345,Aigion,22.081,38.248,240
496,Filiatra,21.587,37.157,345
496,Pigadia,21.606,38.021,200
496,Amfissa,22.379,38.527,240
856,Pyrgos,21.439,37.672,496
2127,Patrai,21.735,38.245,1232
288,Kato Nevrokopion,23.867,41.344,200
240,Nafpaktos,21.831,38.394,200
2127,Larisa,22.419,39.639,856
345,Pyrgetos,22.59,39.919,200
288,Terpsithea,21.974,38.564,200
240,Anatoli,22.126,38.771,200
496,Farsala,22.385,39.296,288
345,Zacharo,21.649,37.484,200
240,Melissa,22.646,39.555,200
1478,Lamia,22.434,38.9,414
288,Anavra,22.55,39.073,200
345,Sochos,23.356,40.817,240
414,Kalavryta,22.111,38.032,200
1027,Serrai,23.55,41.09,414
345,Almyros,22.76,39.183,200
288,Galaxidion,22.384,38.377,200
595,Nea Moudania,23.288,40.24,288
288,Megalopolis,22.135,37.401,200
345,Levidion,22.297,37.683,200
240,Kassandreia,23.413,40.049,200
414,Stavros,23.701,40.663,345
496,Koroni,21.958,36.796,200
2552,Kalamata,22.111,37.041,856
1027,Tripolis,22.372,37.51,414
240,Loutra Aidipsou,23.043,38.856,200
240,Skaloti,24.283,41.412,200
345,Neos Marmaras,23.784,40.095,240
595,Levadeia,22.874,38.436,288
288,Milina,23.22,39.171,200
345,Argos,22.729,37.635,200
288,Astros,22.722,37.404,200
496,Atalanti,22.995,38.655,200
595,Kavala,24.406,40.938,240
240,Mantoudion,23.477,38.798,240
496,Istiaia,23.152,38.953,200
345,Lygourio,23.039,37.613,200
345,Drama,24.147,41.15,200
856,Chalkis,23.597,38.46,345
595,Spetsai,23.157,37.264,240
288,Nemea,22.662,37.822,200
496,Ierissos,23.876,40.397,200
414,Paralia,22.889,38.238,200
288,Sparti,22.43,37.075,200
1027,Skiathos,23.489,39.163,345
595,Korinthos,22.928,37.939,414
