rs,name,lon,lat,r1
496,Patreksfjörður,-23.999,65.598,414
4408,Ísafjörður,-23.124,66.075,1232
240,Þingeyri,-23.489,65.877,200
496,Ólafsvík,-23.708,64.897,345
1478,Stykkishólmur,-22.725,65.076,496
288,Reykhólar,-22.199,65.448,240
345,Grindavík,-22.434,63.843,288
414,Akranes,-22.058,64.319,200
345,Búðardalur,-21.762,65.109,288
345,Borgarnes,-21.91,64.545,200
288,Bifröst,-21.549,64.766,200
714,Hólmavík,-21.683,65.701,345
288,Hvammstangi,-20.943,65.398,288
714,Selfoss,-21.003,63.937,288
288,Blönduós,-20.28,65.658,240
414,Skagaströnd,-20.303,65.823,200
414,Laugarvatn,-20.733,64.218,200
595,Hvolsvöllur,-20.231,63.749,240
1773,Vestmannaeyjar,-20.276,63.44,496
414,Varmahlíð,-19.444,65.553,200
496,Siglufjörður,-18.907,66.155,200
595,Sauðárkrókur,-19.64,65.748,414
240,Ólafsfjörður,-18.653,66.071,200
414,Dalvík,-18.53,65.974,288
414,Grímsey,-18.009,66.538,345
240,Hrafnagil,-18.094,65.571,200
496,Vík,-19.006,63.42,414
2127,Akureyri,-18.101,65.689,1773
496,Húsavík,-17.343,66.047,345
714,Kirkjubæjarklaustur,-18.038,63.794,414
288,Laugar,-17.36,65.721,200
496,Reykjahlíð,-16.91,65.64,345
240,Kópasker,-16.44,66.302,200
1232,Raufarhöfn,-15.949,66.454,288
496,Bakkafjörður,-14.803,66.037,200
496,Þórshöfn,-15.336,66.198,414
1027,Vopnafjörður,-14.828,65.753,414
1773,Höfn í Hornafirði,-15.208,64.255,714
2127,Egilsstaðir,-14.406,65.262,1027
496,Djúpivogur,-14.283,64.657,200
345,Borgarfjörður eystri,-13.816,65.528,288
240,Stöðvarfjörður,-13.874,64.833,200
345,Fáskrúðsfjörður,-14.014,64.93,200
414,Neskaupstaður,-13.676,65.147,200
100000,Reykjavík,-21.903,64.115,100000
